Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	2.56529	24.2115s	0.001
2	0.362936	0.182696	118.425s	0.001
3	0.193571	0.175123	117.567s	0.001
4	0.179459	0.164206	117.914s	0.001
5	0.172331	0.166391	118.124s	0.001
6	0.168883	0.1701	117.625s	0.001
7	0.166185	0.164237	118.501s	0.001
8	0.16435	0.155873	118.126s	0.001
9	0.16281	0.155949	118.173s	0.001
10	0.16157	0.159416	118.431s	0.001
11	0.160774	0.153625	118.379s	0.001
12	0.159865	0.157618	118.286s	0.001
13	0.159374	0.152038	117.73s	0.001
14	0.158335	0.159357	118.097s	0.001
15	0.158201	0.186891	118.109s	0.001
16	0.157729	0.161341	118.317s	0.001
17	0.158068	0.152021	117.707s	0.001
18	0.157025	0.166758	118.335s	0.001
19	0.156972	0.155977	117.774s	0.001
20	0.156664	0.152667	118.301s	0.001
21	0.15577	0.164956	118.35s	0.001
22	0.155832	0.15089	118.016s	0.001
23	0.155806	0.151313	117.936s	0.001
24	0.155642	0.152567	118.339s	0.001
25	0.155154	0.154905	117.892s	0.001
26	0.154753	0.151048	117.932s	0.001
27	0.154207	0.153147	117.955s	0.001
28	0.154095	0.161589	118.13s	0.001
29	0.153834	0.150264	117.982s	0.001
30	0.153434	0.151475	118.077s	0.001
31	0.153224	0.156949	118.285s	0.001
32	0.152861	0.147899	117.737s	0.001
33	0.152619	0.149226	118.002s	0.001
34	0.152531	0.159115	117.757s	0.001
35	0.152696	0.150575	117.656s	0.001
36	0.152479	0.150274	117.581s	0.001
37	0.152361	0.146985	117.793s	0.001
38	0.151634	0.150681	117.723s	0.001
39	0.15178	0.153966	117.51s	0.001
40	0.151154	0.145587	117.595s	0.001
41	0.151064	0.148435	117.091s	0.001
42	0.150599	0.143636	117.26s	0.001
43	0.151329	0.14819	117.458s	0.001
44	0.150747	0.148898	116.852s	0.001
45	0.150611	0.149536	116.956s	0.001
46	0.150615	0.146285	116.836s	0.001
47	0.150146	0.153887	117.27s	0.001
48	0.149694	0.157373	117.295s	0.001
49	0.149668	0.14693	116.974s	0.001
50	0.149947	0.150318	117.105s	0.001
51	0.149683	0.152127	117.265s	0.001
52	0.149695	0.148747	117.039s	0.001
53	0.149374	0.142438	117.371s	0.001
54	0.14931	0.144969	117.339s	0.001
55	0.149272	0.140638	117.07s	0.001
56	0.149272	0.154148	116.741s	0.001
57	0.148567	0.148962	116.967s	0.001
58	0.148639	0.151705	116.693s	0.001
59	0.148247	0.148385	117.072s	0.001
60	0.148375	0.146446	117.331s	0.001
61	0.148238	0.148026	117.188s	0.001
