Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	5.13404	330.727s	0.001
2	0.156837	0.135149	1641.26s	0.001
3	0.130319	0.129064	1638.37s	0.001
4	0.125761	0.123942	1642.4s	0.001
5	0.123362	0.120769	1643.82s	0.001
6	0.121822	0.121243	1642.56s	0.001
7	0.120825	0.120114	1645.74s	0.001
8	0.120243	0.119523	1643.4s	0.001
9	0.119728	0.118667	1645.6s	0.001
10	0.119335	0.120475	1642.25s	0.001
11	0.119076	0.118125	1639.96s	0.001
12	0.118862	0.117749	1640.66s	0.001
13	0.118671	0.117066	1643.1s	0.001
14	0.118599	0.117084	1642.7s	0.001
15	0.118346	0.117465	1642.3s	0.001
16	0.11824	0.118711	1643.34s	0.001
17	0.118087	0.116408	1642.69s	0.001
18	0.118034	0.117475	1643.82s	0.001
19	0.117993	0.116931	1644.29s	0.001
20	0.117898	0.116682	1644.62s	0.001
21	0.117835	0.115933	1641.8s	0.001
22	0.11778	0.11598	1641.91s	0.001
23	0.117649	0.116779	1646.51s	0.001
24	0.117573	0.116695	1645.28s	0.001
25	0.117506	0.115662	1644.94s	0.001
26	0.117451	0.11577	1643.85s	0.001
27	0.117375	0.115849	1644.62s	0.001
28	0.117347	0.116408	1700.74s	0.001
29	0.117245	0.116431	1644.28s	0.001
30	0.117211	0.115692	1696.89s	0.001
31	0.117201	0.115729	1641.53s	0.001
32	0.117145	0.116598	1642.59s	0.001
33	0.117118	0.116815	1644.33s	0.001
34	0.117	0.116878	1644.13s	0.001
35	0.117025	0.115299	1643.53s	0.001
36	0.116983	0.115941	1644.42s	0.001
37	0.116953	0.115184	1643.6s	0.001
38	0.11691	0.116317	1644.71s	0.001
39	0.116853	0.115529	1645.07s	0.001
40	0.116902	0.115196	1643.37s	0.001
41	0.116893	0.115679	1643.02s	0.001
42	0.116757	0.115706	1643.83s	0.001
43	0.116803	0.11606	1643.18s	0.001
44	0.116743	0.115168	1644.13s	0.001
45	0.116784	0.115083	1641.77s	0.001
46	0.11678	0.115615	1641.73s	0.001
47	0.116759	0.11683	1644.46s	0.001
48	0.116797	0.115197	1644.03s	0.001
49	0.116684	0.115565	1645.02s	0.001
50	0.116774	0.114982	1642.97s	0.001
51	0.116759	0.116925	1644.41s	0.001
52	0.116728	0.114933	1641.69s	0.001
53	0.116626	0.114466	1644.9s	0.001
54	0.116717	0.115833	1645.04s	0.001
55	0.116719	0.115672	1642.7s	0.001
56	0.116626	0.117982	1641.44s	0.001
57	0.116595	0.115582	2354.53s	0.001
58	0.116617	0.115888	2038.25s	0.001
59	0.116645	0.115071	1642.91s	0.001
60	0.11668	0.115971	1646.07s	0.001
61	0.116648	0.114847	1644.05s	0.001
62	0.116598	0.11579	1642.62s	0.001
63	0.116551	0.116615	1642.74s	0.001
64	0.116479	0.115664	1642.1s	0.001
65	0.116619	0.115556	1645.1s	0.001
66	0.116518	0.116222	1643.95s	0.001
67	0.116604	0.114267	1643.12s	0.001
68	0.116516	0.114592	2103.36s	0.001
69	0.116489	0.114983	1646.05s	0.001
70	0.11654	0.11557	1644.7s	0.001
71	0.116459	0.115355	1641.49s	0.001
72	0.116547	0.115221	1643.07s	0.001
73	0.116562	0.114688	1642.63s	0.001
74	0.116551	0.115896	1641.66s	0.001
75	0.116516	0.11686	1641.64s	0.001
76	0.116461	0.114952	1644.48s	0.001
77	0.116506	0.115324	1645.42s	0.001
78	0.116461	0.116329	1641.78s	0.001
79	0.116532	0.116549	1644.32s	0.001
80	0.116514	0.11517	1733.19s	0.001
81	0.116486	0.114093	1643.33s	0.001
82	0.116498	0.114977	1643.1s	0.001
83	0.116509	0.11467	1643s	0.001
84	0.116488	0.115462	1662.38s	0.001
85	0.116472	0.11475	1786.46s	0.001
86	0.116406	0.115479	1644.38s	0.001
87	0.116515	0.114974	1643.22s	0.001
88	0.116519	0.115481	1645.74s	0.001
89	0.11649	0.115632	1644.36s	0.001
90	0.116466	0.115277	1643.99s	0.001
91	0.116368	0.116489	1645.13s	0.001
92	0.116475	0.116147	1643.55s	0.001
93	0.116475	0.115571	1642.68s	0.001
94	0.116452	0.115411	1643.37s	0.001
95	0.116458	0.115232	1645.18s	0.001
96	0.116382	0.114906	1644.32s	0.001
97	0.116505	0.115216	1644.77s	0.001
98	0.11637	0.116406	1645.65s	0.001
99	0.116448	0.114951	1643.87s	0.001
100	0.113961	0.111339	1642.7s	0.0005
101	0.113162	0.110849	1644.74s	0.0005
102	0.112885	0.111211	1642.73s	0.0005
103	0.112713	0.110644	1641.71s	0.0005
104	0.112625	0.110237	1640.76s	0.0005
105	0.112658	0.11057	1641.11s	0.0005
106	0.112559	0.110405	1644.59s	0.0005
107	0.112597	0.110777	1641.98s	0.0005
108	0.112435	0.111047	1644.08s	0.0005
109	0.112613	0.110485	1642.02s	0.0005
110	0.112542	0.110184	1642.7s	0.0005
111	0.112462	0.111205	1642.38s	0.0005
112	0.112493	0.110134	1644.35s	0.0005
113	0.112536	0.110548	2285.95s	0.0005
114	0.112492	0.110734	2258.73s	0.0005
115	0.112436	0.11046	2260.47s	0.0005
116	0.112518	0.110182	2238.08s	0.0005
117	0.11253	0.110902	1731.01s	0.0005
118	0.112384	0.111288	1643.29s	0.0005
119	0.112461	0.111163	1644.22s	0.0005
120	0.11245	0.110699	1645.07s	0.0005
121	0.112427	0.110351	1644.74s	0.0005
122	0.112414	0.111271	1645.21s	0.0005
123	0.112435	0.110852	1644.19s	0.0005
124	0.112423	0.110345	1643.9s	0.0005
125	0.11243	0.110314	2151.61s	0.0005
126	0.112465	0.111818	2345.44s	0.0005
127	0.112479	0.111103	1881.41s	0.0005
128	0.112393	0.110995	1638.56s	0.0005
129	0.112411	0.11125	1643.76s	0.0005
130	0.112377	0.110755	1645.03s	0.0005
131	0.112434	0.110529	1646.63s	0.0005
132	0.1125	0.110723	1644.81s	0.0005
133	0.112417	0.111024	1642.32s	0.0005
134	0.112407	0.111052	1641.4s	0.0005
135	0.112341	0.111234	1644.61s	0.0005
136	0.11244	0.11141	1645.38s	0.0005
137	0.112317	0.110768	1643.18s	0.0005
138	0.112411	0.110559	1640.92s	0.0005
