Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	3.16561	258.477s	0.001
2	0.152141	0.12559	1554.4s	0.001
3	0.125789	0.126368	1492.72s	0.001
4	0.123811	0.120357	1536.21s	0.001
5	0.122262	0.120124	1513.01s	0.001
6	0.121211	0.119465	1491.32s	0.001
7	0.12028	0.117293	1544.56s	0.001
8	0.119512	0.118006	1492.36s	0.001
9	0.118931	0.118017	1491.22s	0.001
10	0.118634	0.116009	1492.34s	0.001
11	0.118231	0.115731	1493.95s	0.001
12	0.117921	0.116731	1492.12s	0.001
13	0.117671	0.115292	1494.79s	0.001
14	0.117497	0.114279	1492.52s	0.001
15	0.117373	0.114833	1492.94s	0.001
16	0.117094	0.115814	1492.13s	0.001
17	0.117008	0.114669	1492.23s	0.001
18	0.116851	0.11392	1491.51s	0.001
19	0.116732	0.115629	1578.12s	0.001
20	0.116701	0.114104	1494.05s	0.001
21	0.116544	0.114301	1493.72s	0.001
22	0.116561	0.115015	1491.88s	0.001
23	0.116416	0.114968	1490.52s	0.001
24	0.116309	0.114622	1491.6s	0.001
25	0.116326	0.114029	1491.4s	0.001
26	0.116235	0.11357	1492.5s	0.001
27	0.116145	0.114215	1490.76s	0.001
28	0.116126	0.114429	1575.96s	0.001
29	0.11608	0.116394	1490.96s	0.001
30	0.11608	0.113994	1490.53s	0.001
31	0.11611	0.114845	1490.49s	0.001
32	0.116045	0.114136	1489.02s	0.001
33	0.115981	0.114513	1489.54s	0.001
34	0.116043	0.114527	1488.21s	0.001
35	0.115984	0.114467	1490.95s	0.001
36	0.115994	0.113863	1488.89s	0.001
37	0.115942	0.115425	1491.01s	0.001
38	0.11597	0.114624	1489.68s	0.001
39	0.115909	0.114911	1491.39s	0.001
40	0.115941	0.115078	1489.99s	0.001
41	0.115892	0.115779	1490.82s	0.001
42	0.115933	0.112981	1491.67s	0.001
43	0.115905	0.114798	1500.1s	0.001
44	0.115807	0.114789	1498.12s	0.001
45	0.115816	0.114219	1498.88s	0.001
46	0.115795	0.113827	1550.46s	0.001
47	0.115783	0.11362	1498.8s	0.001
48	0.115858	0.114376	1517.98s	0.001
49	0.115802	0.113415	1545.82s	0.001
50	0.115836	0.11395	1490.89s	0.001
51	0.115833	0.113706	1492.99s	0.001
52	0.11576	0.11356	1493.99s	0.001
53	0.11567	0.114354	1492.12s	0.001
54	0.11581	0.112978	1491.75s	0.001
55	0.115785	0.115969	1491.98s	0.001
56	0.115845	0.114227	1492.25s	0.001
57	0.115696	0.114365	1493.46s	0.001
58	0.115796	0.114558	1491.86s	0.001
59	0.115707	0.115249	1491.8s	0.001
60	0.115721	0.113578	1491.92s	0.001
61	0.115779	0.11523	1689.41s	0.001
62	0.115703	0.113437	1508.99s	0.001
63	0.115672	0.1144	1489.56s	0.001
64	0.11576	0.113827	1509.56s	0.001
65	0.115736	0.114759	1492.04s	0.001
66	0.115611	0.114236	1509.77s	0.001
67	0.115714	0.11507	1494.07s	0.001
68	0.115614	0.115218	1492.07s	0.001
69	0.115683	0.114212	1490.61s	0.001
70	0.115673	0.114002	1490.1s	0.001
71	0.115697	0.113783	1491.02s	0.001
72	0.115573	0.115034	1492.07s	0.001
73	0.115693	0.114733	1490.06s	0.001
74	0.115706	0.114562	1492.03s	0.001
75	0.115629	0.114134	1489.7s	0.001
76	0.115657	0.11371	1490.14s	0.001
77	0.115645	0.114957	1489.41s	0.001
78	0.115753	0.113086	1491.62s	0.001
79	0.115603	0.113883	1489.75s	0.001
80	0.115618	0.114023	1488.73s	0.001
81	0.115713	0.113837	1491.7s	0.001
82	0.115693	0.113317	1489.93s	0.001
83	0.1156	0.114478	1487.8s	0.001
84	0.115632	0.114793	1491.72s	0.001
85	0.115639	0.113073	1488.14s	0.001
86	0.11566	0.113549	1489.51s	0.001
87	0.115597	0.113442	1491.9s	0.001
88	0.115659	0.112933	1491.11s	0.001
89	0.115578	0.113034	1491.64s	0.001
90	0.115639	0.114057	1490.89s	0.001
91	0.115621	0.11596	1489.37s	0.001
92	0.113851	0.110667	1491.38s	0.0005
93	0.113242	0.110366	1491.47s	0.0005
94	0.112927	0.110416	1493.47s	0.0005
95	0.112916	0.111678	1491.53s	0.0005
96	0.112768	0.109907	1492.67s	0.0005
97	0.1128	0.110811	1493.13s	0.0005
98	0.112747	0.111213	1491.41s	0.0005
99	0.112724	0.110621	1493.2s	0.0005
100	0.112725	0.110053	1492.9s	0.0005
101	0.112691	0.109885	1492.77s	0.0005
102	0.11265	0.110438	1494.48s	0.0005
103	0.112633	0.110016	1492.14s	0.0005
