Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	2.88579	109.267s	0.001
2	0.137255	0.124628	1329.44s	0.001
3	0.124993	0.121845	1325.56s	0.001
4	0.123805	0.123384	1326.1s	0.001
5	0.122989	0.121271	1330.15s	0.001
6	0.122317	0.122212	1323.69s	0.001
7	0.121813	0.119897	1322.79s	0.001
8	0.121396	0.121716	1327.51s	0.001
9	0.121128	0.119787	1327.22s	0.001
10	0.120811	0.118424	1324.78s	0.001
11	0.12063	0.119019	1327s	0.001
12	0.120505	0.119011	1326.39s	0.001
13	0.120356	0.119572	1324.21s	0.001
14	0.120191	0.11863	1324.79s	0.001
15	0.12003	0.118693	1327.93s	0.001
16	0.119929	0.118105	1323.33s	0.001
17	0.119768	0.118937	1325.84s	0.001
18	0.119652	0.118924	1330.27s	0.001
19	0.11952	0.118439	1324.22s	0.001
20	0.119433	0.117841	1324.91s	0.001
21	0.119426	0.117439	1330.35s	0.001
22	0.119313	0.119622	1326.54s	0.001
23	0.119264	0.117413	1325.07s	0.001
24	0.119205	0.117877	1328.39s	0.001
25	0.119036	0.117515	1326.18s	0.001
26	0.119001	0.118861	1323.43s	0.001
27	0.119109	0.116665	1328.19s	0.001
28	0.119019	0.117805	1327.52s	0.001
29	0.118963	0.118026	1342.56s	0.001
30	0.118982	0.11871	1349.48s	0.001
31	0.118874	0.117216	1353.75s	0.001
32	0.118862	0.117022	1331.66s	0.001
33	0.118844	0.11794	1364.94s	0.001
34	0.118771	0.116914	1329.44s	0.001
35	0.118806	0.11704	1324.94s	0.001
36	0.118702	0.117471	1324.54s	0.001
37	0.118738	0.11843	1331.33s	0.001
38	0.118762	0.117682	1326.41s	0.001
39	0.118741	0.117401	1326.76s	0.001
40	0.118743	0.116851	1330.47s	0.001
41	0.118615	0.11843	1331.08s	0.001
42	0.11871	0.117763	1327.11s	0.001
43	0.118629	0.117396	1329.16s	0.001
44	0.118685	0.117509	1328.91s	0.001
45	0.118652	0.117051	1325.51s	0.001
46	0.118666	0.117421	1328.64s	0.001
47	0.118581	0.11685	1331.25s	0.001
48	0.118599	0.117107	1325.67s	0.001
49	0.118606	0.116739	1327.18s	0.001
50	0.118547	0.117212	1331.07s	0.001
51	0.11857	0.118028	1327.7s	0.001
52	0.118493	0.117073	1327.06s	0.001
53	0.118551	0.116828	1329.94s	0.001
54	0.118476	0.117511	1327.62s	0.001
55	0.118594	0.117492	1327.02s	0.001
56	0.118513	0.117186	1329.05s	0.001
57	0.118502	0.117785	1328.64s	0.001
58	0.11853	0.116571	1327.51s	0.001
59	0.118565	0.117182	1330.56s	0.001
60	0.118531	0.118376	1330.43s	0.001
61	0.118459	0.117374	1325.13s	0.001
62	0.118475	0.117113	1330.35s	0.001
63	0.118455	0.117384	1332.18s	0.001
64	0.118469	0.116787	1327.3s	0.001
65	0.118433	0.118145	1328.21s	0.001
66	0.118405	0.116743	1331.26s	0.001
67	0.118481	0.116514	1327.02s	0.001
68	0.118485	0.116992	1431.07s	0.001
69	0.11846	0.116667	2097.13s	0.001
70	0.118435	0.117285	2130.21s	0.001
71	0.118474	0.117342	2191.78s	0.001
72	0.118431	0.116877	2176.58s	0.001
73	0.118436	0.117149	1716.65s	0.001
74	0.118402	0.117703	1326.06s	0.001
75	0.118398	0.118078	1328.26s	0.001
76	0.118447	0.117374	1330.6s	0.001
77	0.118427	0.117044	1327.05s	0.001
78	0.118317	0.117453	1328.8s	0.001
79	0.118372	0.118124	1330.38s	0.001
80	0.118452	0.116874	1326.25s	0.001
81	0.118426	0.116645	1328s	0.001
82	0.118398	0.118159	1332.5s	0.001
83	0.118409	0.117068	1326.6s	0.001
84	0.118389	0.116353	1327.7s	0.001
85	0.118396	0.117141	1330.83s	0.001
86	0.118342	0.116795	1326.95s	0.001
87	0.118298	0.116761	1326.69s	0.001
88	0.118428	0.11819	1410.6s	0.001
89	0.11834	0.116124	1330.65s	0.001
90	0.118407	0.1172	1327.98s	0.001
91	0.118254	0.116534	1397.61s	0.001
92	0.118334	0.117211	1349.47s	0.001
93	0.116313	0.114101	1391.36s	0.0005
94	0.115311	0.113288	1345.29s	0.0005
95	0.114966	0.113246	1351.12s	0.0005
96	0.114771	0.113656	1417.69s	0.0005
97	0.114724	0.113092	1328.97s	0.0005
98	0.114744	0.112731	1421.47s	0.0005
99	0.114678	0.113392	2150.75s	0.0005
100	0.114763	0.113023	2028.31s	0.0005
101	0.114682	0.114244	1328.37s	0.0005
102	0.114612	0.113851	1327.39s	0.0005
103	0.114659	0.113304	1330.96s	0.0005
104	0.11459	0.112947	1325.34s	0.0005
105	0.114575	0.112768	1328.74s	0.0005
106	0.114667	0.112977	1331.51s	0.0005
107	0.114645	0.113286	1327.72s	0.0005
108	0.114672	0.113014	1327.03s	0.0005
109	0.11459	0.112979	1329.97s	0.0005
110	0.114644	0.113028	1328.76s	0.0005
111	0.114629	0.112864	1325.75s	0.0005
112	0.11458	0.113402	1328.77s	0.0005
113	0.114571	0.113516	1329.07s	0.0005
114	0.114614	0.112795	1326.97s	0.0005
115	0.114591	0.113445	1328.73s	0.0005
116	0.114498	0.112441	1329.67s	0.0005
117	0.114582	0.11295	1326.35s	0.0005
118	0.114588	0.11327	1329.74s	0.0005
119	0.114545	0.112686	1329.93s	0.0005
120	0.114549	0.113515	1326.99s	0.0005
121	0.11456	0.114699	1329.26s	0.0005
122	0.11457	0.113095	1332.21s	0.0005
123	0.114518	0.112289	1326.51s	0.0005
124	0.114572	0.113339	1327.09s	0.0005
125	0.114545	0.113022	1330.99s	0.0005
126	0.114528	0.112778	1327.5s	0.0005
127	0.114583	0.112652	1328.64s	0.0005
128	0.114497	0.112944	1331.64s	0.0005
129	0.114545	0.112914	1330.86s	0.0005
130	0.114536	0.113374	1327.26s	0.0005
131	0.114457	0.113407	1330.59s	0.0005
132	0.114482	0.113493	1330.41s	0.0005
133	0.114531	0.112705	1327.48s	0.0005
134	0.11454	0.11383	1329.98s	0.0005
135	0.114524	0.113092	1330.37s	0.0005
136	0.114523	0.113249	1328.12s	0.0005
137	0.114519	0.113739	1329s	0.0005
138	0.114561	0.113586	1330.34s	0.0005
139	0.114531	0.112744	1329.58s	0.0005
140	0.114456	0.11286	1329.09s	0.0005
141	0.114447	0.112725	1331.5s	0.0005
142	0.114495	0.112782	1327.11s	0.0005
143	0.114511	0.113113	1328.58s	0.0005
144	0.114562	0.112524	1331.12s	0.0005
145	0.114494	0.113121	1327.19s	0.0005
146	0.114462	0.112379	1329.32s	0.0005
147	0.114592	0.113332	1331.34s	0.0005
148	0.11449	0.113173	1328.24s	0.0005
149	0.114524	0.113018	1327.51s	0.0005
150	0.11453	0.112446	1329.41s	0.0005
151	0.114492	0.113241	1456.64s	0.0005
152	0.114497	0.113555	1326.33s	0.0005
153	0.114488	0.112593	1331.45s	0.0005
154	0.114427	0.112914	1654.95s	0.0005
155	0.114593	0.11331	1360.35s	0.0005
156	0.114521	0.112725	1329.66s	0.0005
157	0.114504	0.113241	1368.69s	0.0005
158	0.114418	0.113012	1345.94s	0.0005
159	0.11446	0.112822	1333.2s	0.0005
160	0.11448	0.113491	1334.91s	0.0005
161	0.114512	0.112816	1331.51s	0.0005
162	0.114365	0.11233	1385.14s	0.0005
163	0.114519	0.112679	1331.01s	0.0005
164	0.114466	0.112943	1330.44s	0.0005
165	0.11457	0.113541	1329.3s	0.0005
