Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	3.64994	11.1956s	0.001
2	0.235773	0.362335	55.74s	0.001
3	0.189517	0.234939	55.2061s	0.001
4	0.17827	0.181253	55.5909s	0.001
5	0.171211	0.165346	56.3956s	0.001
6	0.167227	0.164498	55.7433s	0.001
7	0.163656	0.160123	55.4653s	0.001
8	0.161306	0.152543	59.2215s	0.001
9	0.159216	0.158242	55.89s	0.001
10	0.15851	0.155031	55.6352s	0.001
11	0.157216	0.157302	55.9179s	0.001
12	0.155967	0.153324	55.8251s	0.001
13	0.15566	0.150331	55.9647s	0.001
14	0.155295	0.148261	56.0268s	0.001
15	0.154317	0.149582	55.7574s	0.001
16	0.154851	0.151356	55.5023s	0.001
17	0.153828	0.14897	55.6232s	0.001
18	0.153698	0.147347	56.4263s	0.001
19	0.153586	0.150991	56.1166s	0.001
20	0.153281	0.149101	55.7678s	0.001
21	0.153415	0.148537	55.8515s	0.001
22	0.152903	0.150352	56.0198s	0.001
23	0.152594	0.150112	56.1199s	0.001
24	0.152472	0.14824	55.7969s	0.001
25	0.152824	0.146012	55.6139s	0.001
26	0.152514	0.147138	55.8381s	0.001
27	0.152366	0.146435	55.9828s	0.001
28	0.152377	0.149644	55.6386s	0.001
29	0.151778	0.148563	56.3039s	0.001
30	0.151927	0.147248	57.5788s	0.001
31	0.151759	0.14724	57.2412s	0.001
32	0.152279	0.149068	55.8905s	0.001
33	0.151593	0.145188	58.9992s	0.001
34	0.151874	0.147217	56.0459s	0.001
35	0.151817	0.146047	55.9809s	0.001
36	0.151644	0.150069	55.1201s	0.001
37	0.151563	0.147423	55.8088s	0.001
38	0.151424	0.147346	55.8444s	0.001
39	0.151156	0.147953	56.4143s	0.001
40	0.151433	0.146419	55.9982s	0.001
41	0.151072	0.145501	55.6627s	0.001
42	0.151353	0.147348	55.9235s	0.001
43	0.150928	0.145545	55.9601s	0.001
44	0.151257	0.146685	56.1058s	0.001
45	0.150709	0.147768	55.6664s	0.001
46	0.150427	0.146757	57.3393s	0.001
47	0.150939	0.148327	55.8056s	0.001
48	0.150521	0.148112	55.6143s	0.001
49	0.150534	0.146345	55.5189s	0.001
50	0.150016	0.149493	55.5869s	0.001
51	0.150605	0.148292	55.7779s	0.001
