Epoch	train_cost	val_cost	epoch_time	learing_rate
1	nan	3.72555	4.91857s	0.001
2	0.31323	0.673132	42.9643s	0.001
3	0.206124	0.392418	42.6145s	0.001
4	0.194206	0.292131	42.1008s	0.001
5	0.187715	0.218508	41.5374s	0.001
6	0.183769	0.202774	41.926s	0.001
7	0.180516	0.193396	42.5692s	0.001
8	0.177129	0.184841	41.8896s	0.001
9	0.17303	0.178736	41.93s	0.001
10	0.17126	0.169788	41.9264s	0.001
11	0.169247	0.167206	42.1048s	0.001
12	0.16755	0.168864	41.3734s	0.001
13	0.166186	0.164753	42.1402s	0.001
14	0.164921	0.166703	42.3884s	0.001
15	0.164883	0.160482	42.0307s	0.001
16	0.163528	0.159638	41.8577s	0.001
17	0.162802	0.15793	41.698s	0.001
18	0.162318	0.159091	41.5511s	0.001
19	0.162071	0.156918	42.0531s	0.001
20	0.161818	0.158362	41.6039s	0.001
21	0.160989	0.155059	41.984s	0.001
22	0.160656	0.154564	41.8141s	0.001
23	0.160185	0.156371	41.7429s	0.001
24	0.15936	0.153067	42.5422s	0.001
25	0.159476	0.155596	41.4241s	0.001
26	0.159228	0.152193	41.4232s	0.001
27	0.158979	0.153747	41.674s	0.001
28	0.158576	0.156878	41.3595s	0.001
29	0.158482	0.152742	43.5743s	0.001
30	0.158333	0.150408	41.8199s	0.001
31	0.157616	0.155041	42.7322s	0.001
32	0.157959	0.152871	41.7061s	0.001
33	0.157305	0.151885	41.7132s	0.001
34	0.157112	0.153727	41.5945s	0.001
35	0.157105	0.151882	41.688s	0.001
36	0.156865	0.150786	41.579s	0.001
37	0.156488	0.151836	42.8282s	0.001
38	0.156738	0.151671	42.7861s	0.001
39	0.155902	0.154661	41.7545s	0.001
40	0.15615	0.151067	41.5879s	0.001
41	0.156479	0.150099	41.5704s	0.001
42	0.155444	0.151116	41.4995s	0.001
43	0.155829	0.15013	41.808s	0.001
44	0.155472	0.148181	41.7324s	0.001
45	0.155615	0.14942	41.935s	0.001
46	0.155548	0.148739	42.3915s	0.001
47	0.155138	0.148056	41.6293s	0.001
48	0.1554	0.147594	41.9299s	0.001
49	0.15476	0.148155	42.5228s	0.001
50	0.154685	0.145979	41.4672s	0.001
51	0.154435	0.146068	41.5365s	0.001
52	0.154724	0.147748	42.6182s	0.001
53	0.154406	0.146631	41.9286s	0.001
54	0.154404	0.148742	41.944s	0.001
55	0.154107	0.146408	41.7049s	0.001
56	0.154438	0.150449	41.787s	0.001
57	0.154166	0.1458	41.7955s	0.001
58	0.154306	0.146527	41.6665s	0.001
59	0.154025	0.147485	42.7827s	0.001
60	0.153854	0.14835	42.3617s	0.001
61	0.15448	0.148959	42.0704s	0.001
62	0.154002	0.144374	42.5669s	0.001
63	0.153758	0.147948	42.6175s	0.001
64	0.153613	0.147109	41.6012s	0.001
65	0.15368	0.148181	42.9091s	0.001
66	0.153549	0.147701	42.1322s	0.001
67	0.15325	0.146231	42.0484s	0.001
68	0.153356	0.148638	41.671s	0.001
69	0.153252	0.147659	41.843s	0.001
70	0.153259	0.14697	42.2302s	0.001
71	0.153158	0.147006	41.7901s	0.001
72	0.153073	0.146706	41.4717s	0.001
73	0.153029	0.145935	41.8095s	0.001
74	0.152968	0.145936	41.3293s	0.001
75	0.152692	0.145387	42.1129s	0.001
